Timestamp,Rank,TrendPhrase
2014/04/23 09:22:12,8,#HappyBirthdayShakespeare
2014/04/23 09:22:12,9,STAAR
2014/04/23 09:22:12,10,#Shakespeare450th
2014/04/23 09:27:14,1,Lupita Nyong'o
2014/04/23 09:27:14,2,Watch the Throne
2014/04/23 09:27:14,3,#ThingsBetterThanMiMiSexTape
2014/04/23 09:27:14,4,STAAR
2014/04/23 09:27:14,5,#AdministrativeProfessionalsDay
2014/04/23 09:27:14,6,#MostBeautiful
2014/04/23 09:27:14,7,#HappyBirthdayShakespeare
2014/04/23 09:27:14,8,Amazon Prime
2014/04/23 09:27:14,9,Kate Upton
2014/04/23 09:27:14,10,#Shakespeare450th
2014/04/23 09:32:14,1,Watch the Throne
2014/04/23 09:32:14,2,#ThingsBetterThanMiMiSexTape
2014/04/23 09:32:14,3,James Dolan
2014/04/23 09:32:14,4,Lupita Nyong'o
2014/04/23 09:32:14,5,#AdministrativeProfessionalsDay
2014/04/23 09:32:14,6,#MostBeautiful
2014/04/23 09:32:14,7,#HappyBirthdayShakespeare
2014/04/23 09:32:14,8,Amazon Prime
2014/04/23 09:32:14,9,New York
2014/04/23 09:32:14,10,#Shakespeare450th
2014/04/23 09:37:15,1,#ThingsBetterThanMiMiSexTape
2014/04/23 09:37:15,2,James Dolan
2014/04/23 09:37:15,3,Florida
2014/04/23 09:37:15,4,#AdministrativeProfessionalsDay
2014/04/23 09:37:15,5,#MostBeautiful
2014/04/23 09:37:15,6,#HappyBirthdayShakespeare
2014/04/23 09:37:15,7,Amazon Prime
2014/04/23 09:37:15,8,Kate Upton
2014/04/23 09:37:15,9,Lupita
2014/04/23 09:37:15,10,#Shakespeare450th
2014/04/23 09:42:15,1,#FlecheWallonne
2014/04/23 09:42:15,2,James Dolan
2014/04/23 09:42:15,3,Happy Administrative Professionals Day
2014/04/23 09:42:15,4,Lupita Nyong'o
2014/04/23 09:42:15,5,#AdministrativeProfessionalsDay
2014/04/23 09:42:15,6,#MostBeautiful
2014/04/23 09:42:15,7,Amazon Prime
2014/04/23 09:42:15,8,McDonalds
2014/04/23 09:42:15,9,#Shakespeare450th
2014/04/23 09:42:15,10,#WrigleyField100
2014/04/23 09:47:16,1,Chicago
2014/04/23 09:47:16,2,#myNYPD
2014/04/23 09:47:16,3,James Dolan
2014/04/23 09:47:16,4,Florida
2014/04/23 09:47:16,5,Lupita Nyong'o
2014/04/23 09:47:16,6,#AdministrativeProfessionalsDay
2014/04/23 09:47:16,7,#MostBeautiful
