26,2014/04/24 07:58:21,7,Lamarcus Aldridge
26,2014/04/24 07:58:21,8,#3DaysUntilProblem
26,2014/04/24 07:58:21,9,#GangstaBroadway
26,2014/04/24 07:58:21,10,Penn Relays
27,2014/04/24 08:03:22,1,#throwbackthursday
27,2014/04/24 08:03:22,2,#1DayUntilTheWWAT
27,2014/04/24 08:03:22,3,Pineda
27,2014/04/24 08:03:22,4,Cliven Bundy
27,2014/04/24 08:03:22,5,#5SOSonElvis
27,2014/04/24 08:03:22,6,Lamarcus Aldridge
27,2014/04/24 08:03:22,7,#3DaysUntilProblem
27,2014/04/24 08:03:22,8,#GangstaBroadway
27,2014/04/24 08:03:22,9,Penn Relays
27,2014/04/24 08:03:22,10,Elvis Duran
28,2014/04/24 08:08:22,1,#1DayUntilTheWWAT
28,2014/04/24 08:08:22,2,Pineda
28,2014/04/24 08:08:22,3,#happythursday
28,2014/04/24 08:08:22,4,#5SOSonElvis
28,2014/04/24 08:08:22,5,Colombia
28,2014/04/24 08:08:22,6,Lamarcus Aldridge
28,2014/04/24 08:08:22,7,#3DaysUntilProblem
28,2014/04/24 08:08:22,8,#GangstaBroadway
28,2014/04/24 08:08:22,9,Penn Relays
28,2014/04/24 08:08:22,10,Cliven Bundy
29,2014/04/24 08:13:23,1,Michael Pineda
29,2014/04/24 08:13:23,2,FCAT
29,2014/04/24 08:13:23,3,#1DayUntilTheWWAT
29,2014/04/24 08:13:23,4,#happythursday
29,2014/04/24 08:13:23,5,#5SOSonElvis
29,2014/04/24 08:13:23,6,LaMarcus Aldridge
29,2014/04/24 08:13:23,7,#3DaysUntilProblem
29,2014/04/24 08:13:23,8,#GangstaBroadway
29,2014/04/24 08:13:23,9,Penn Relays
29,2014/04/24 08:13:23,10,Cliven Bundy
30,2014/04/24 08:18:23,1,Michael Pineda
30,2014/04/24 08:18:23,2,#1DayUntilTheWWAT
30,2014/04/24 08:18:23,3,Dunkin
30,2014/04/24 08:18:23,4,#ElPulsoBillboard
30,2014/04/24 08:18:23,5,#5SOSonElvis
30,2014/04/24 08:18:23,6,LaMarcus Aldridge
30,2014/04/24 08:18:23,7,#3DaysUntilProblem
